compagnie,Annee,rpm_total
AA,2002,2692887
AA,2003,10095187
AA,2004,10524652
AA,2005,9908453
AA,2006,10412599
AA,2007,9981711
AA,2008,9497027
AA,2009,8296488
AA,2010,8594514
AA,2011,8419239
AA,2012,11274316
AA,2013,11478015
AA,2014,11516942
AA,2015,11912594
AA,2016,11847770
AA,2017,1869185
FA,2002,2368144
FA,2003,9791257
FA,2004,11531272
FA,2005,12304150
FA,2006,12412778
FA,2007,12453896
FA,2008,11518619
FA,2009,10661118
FA,2010,10663454
FA,2011,10888756
FA,2012,11428251
FA,2013,11496032
FA,2014,11690023
FA,2015,13946575
FA,2016,17318668
FA,2017,2949005
GA,2002,7680697
GA,2003,30769213
GA,2004,33963926
GA,2005,35775411
GA,2006,35268081
GA,2007,36465435
GA,2008,37338343
GA,2009,35080973
GA,2010,41158732
GA,2011,42180339
GA,2012,43069093
GA,2013,44064304
GA,2014,46912054
GA,2015,48989773
GA,2016,49260222
GA,2017,7946832
