compagnie,Annee,avg_asm
AA,2002,315931.0
AA,2003,295645.53
AA,2004,296641.39
AA,2005,255289.08
AA,2006,270788.36
AA,2007,254119.06
AA,2008,232021.28
AA,2009,209025.56
AA,2010,212045.72
AA,2011,194470.67
AA,2012,283974.92
AA,2013,289552.81
AA,2014,293362.39
AA,2015,295822.5
AA,2016,288307.92
AA,2017,244785.11
FA,2002,348180.56
FA,2003,344690.28
FA,2004,369457.19
FA,2005,364235.28
FA,2006,366917.39
FA,2007,365511.53
FA,2008,343310.14
FA,2009,318209.19
FA,2010,316239.06
FA,2011,313434.97
FA,2012,326309.47
FA,2013,322048.81
FA,2014,318227.67
FA,2015,368195.58
FA,2016,427255.42
FA,2017,398558.89
GA,2002,882239.56
GA,2003,872081.22
GA,2004,948273.72
GA,2005,965356.53
GA,2006,846920.78
GA,2007,809846.92
GA,2008,775290.97
GA,2009,733840.36
GA,2010,885522.78
GA,2011,925189.92
GA,2012,953740.25
GA,2013,973277.28
GA,2014,1012108.61
GA,2015,1063976.22
GA,2016,1100639.5
GA,2017,1027202.0
